Profile,Post,Create Date,Likes,Comments,Captions
medicalmedium,https://www.instagram.com/medicalmedium/p/DK2w2bmS4eG/,"6/13/2025, 2:14:29 PM",4450,317,"🌟NEW EPISODE🌟Your Healing Is Holy: You’re Seen From Above🎙️

Comment “HOLY” to be sent the link to listen to this advertisement-free podcast on Apple & Spotify.

In this episode…

Discover how when a person is chronically ill, they aren’t alone and that there is an audience around them from above seeing their struggles and journey.

Learn how your body is fighting for you every day to heal.

Find out how you deserve to heal, and becoming sick with symptoms and conditions isn’t your fault.

Learn how your body loves you unconditionally.

Hear about how every powerful little tool you use for your healing can move you forward.

Learn how it’s easy to be conditioned into believing you’re a bad person and you’re the cause of your sickness, but it’s not truth.

Find out how easy it is to lose confidence when you’re not feeling well and how it should be the opposite because you can heal.

Learn about what happens after you heal and how people will see your wisdom.

Know how different life will be when looking back at the past when you were sick from the vantage of being healed.

All this and more, tune in and don’t miss out on this important episode. You can revisit this episode anytime you need it.

Comment “HOLY” to be sent the link to listen to this advertisement-free podcast on Apple & Spotify."
medicalmedium,https://www.instagram.com/medicalmedium/p/DK2M36COPTJ/,"6/13/2025, 9:00:07 AM",3401,259,"Difficulty Coping 
 
People should never be blamed for a struggle to cope. What’s really happening is a sensitive central nervous system and neurotransmitters that are weakened. The person is not weak. You could be the strongest person with the strongest will, spirit, personality, and nature—and when neurotransmitters are affected in some way, it makes it tough to deal with some of life’s challenges. Neurotransmitter disorders are common for anybody dealing with ME/CFS or any kind of autoimmune condition. Toxic heavy metal loads and viral loads combined create a lot of neurotoxins, which weaken neurotransmitters. When this is coupled with adrenal issues and other symptoms, it can be difficult to cope with any additional stressor that comes your way. 
 
Not that you need to be diagnosed with a condition to have trouble coping. Toxic heavy metals in the areas of the brain that help us process emotional information and maintain equilibrium when navigating challenges can make difficult times in life even more difficult. Heavy metals dampen and hamper neurotransmitter activity. That could cause someone to retreat or procrastinate during a time of emotional stress, which can lead to not feeling able to look at a document they’re supposed to look at, contact someone they’re supposed to contact, or generally “deal.” 
 
There are also cases where someone can be very accomplished, with incredible grit, in one area of life and yet have an emotional sore spot or a soul injury with a PTSD pocket. Consider a super athlete with a strong personality, for example, who wakes up early every morning to run 20 miles, and yet you bring up a particular subject, and they can’t cope. Once again, that’s from heavy metals in certain areas of the brain creating little blocks. That will happen especially if someone has an emotional wound around the subject. Heavy metals and emotional wounds can cluster together in the brain by happenstance, making the wound or injury that much easier to trigger. 
 
Comment COPING to find out how to heal in Brain Saver and Brain Saver Protocols, Cleanses & Recipes. 

Have you or someone you know ever felt it was difficult to cope at some point?"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DCWz073usqy/,"11/14/2024, 8:16:03 AM",7150,249,"Repost from @riotous2righteous
•
Compelling healing testimonies that stand tall on their own merit 🌟

#medicalmedium"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DK98uqlOekV/,"6/16/2025, 9:14:01 AM",4211,200,"Wild Blueberry Porridge {Gluten-Free, Dairy-Free, & Fat-Free} A Cleanse To Heal Recipe

Comment RECIPE and we will send it to you now

This recipe uses millet or gluten-free oatmeal with the addition of a secret weapon: wild blueberries. These little purple gems offer an explosion of delicious flavor, and their healing properties for the liver and the rest of the body are a true miracle.

Wild blueberries contain dozens of undiscovered antioxidants, including anthocyanin varieties. There’s not just one pigment inside a wild blueberry; there are dozens of pigments not yet researched or studied. The wild blueberry is to the liver as mother’s milk is to a baby. Not only do wild blueberries have the ability to grab on to plenty of troublemakers, but they also hold on to them as they leave the liver, in a way that most other healing foods cannot. The pigments in wild blueberries have the ability to saturate deep into liver cells and cross cell walls and membranes inside the liver, spreading their blue everywhere. Wild blueberries enhance the intestinal tract, feeding good bacteria there, which benefits the liver greatly.

Wild Blueberry Porridge

Ingredients:

1 cup millet or gluten-free oat flour
2 cups water; more if needed
½ tsp cinnamon 
½ cup wild blueberries
2 tbsps fresh wild or cultivated blueberries, or frozen wild blueberries, for garnish
Pure maple syrup or raw honey, to taste
Directions:

Place the millet, water, and cinnamon in a small saucepan, stir, and bring it to a boil. Add more water if needed. Reduce to a simmer, cover, and cook until soft, about 10 to 15 minutes, stirring intermittently. Once it’s cooked, remove the saucepan from the heat, cover it, and let it sit for a few minutes. 

Alternatively, place the oats, water, and cinnamon in a small saucepan and bring to a simmer. Add more water if needed. Cover and cook until soft, about 5 to 10 minutes. 

Stir in the wild blueberries and maple syrup to taste. Serve topped with the 2 tablespoons of blueberries.

Comment RECIPE and we will send it to you now"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DKzWKZ_Og2W/,"6/12/2025, 6:24:00 AM",3543,166,"Aloe Grape Slushy

Comment ALOE for link to recipe

Get the incredible healing benefits of aloe vera in this sweet grape slushy. Refreshing and delicious, this slushy makes a wonderful light breakfast or snack. If you suffer with constipation, you might find the combination of grapes and aloe vera in this drink brings you welcome relief!

Grapes contain high amounts of powerful antioxidants known as bioflavonoids, resveratrol, and anthocyanins. These phytochemicals are anti-inflammatory, anti-viral, anti-microbial, anti-aging, and anti-cancerous and provide protection against anemia, degenerative nerve diseases, heart disease, viral and fungal infections, Alzheimer’s, and autoimmune disorders. Grapes can also help provide relief from asthma, migraines, constipation, gastritis, chronic acidosis, indigestion, kidney disorders, fatigue, and vision problems.

Fresh aloe leaf gel binds onto toxic debris in the intestinal tract and carries it out of the colon during elimination. Aloe also reduces poisons and toxins in the intestinal tract so that they don’t travel up to the liver. It expels and diminishes ammonia inside the intestinal tract that otherwise seeps into the liver when food is putrefying due to low hydrochloric acid and bile production.

Aloe also works wonders for assimilation, circulation, and elimination. It is known to purify the blood, reduce inflammation, ease arthritis pain, prevent kidney stones, lower high cholesterol, prevent Candida, boost physical endurance, benefit cardiovascular health, and protect the body from oxidative stress. Aloe soothes ulcers, hemorrhoids, gastritis, diverticulitis, colitis, irritable bowel syndrome, and other digestive disorders. Aloe provides recovery from fatigue and aids in muscle function as well as optimal utilization of several vitamins, minerals, and enzymes. Its alkaline nature helps to soothe acidosis and alkalinize the whole body.

Aloe Grape Slushy

Ingredients:

2”-4” fresh aloe leaf gel
2 cups frozen seedless black or purple grapes
splash of water, if needed to blend

Directions:

Place all the ingredients in a blender and blend until smooth. Serve immediately.

Comment ALOE for link to recipe"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DK6_pZwOWyA/,"6/15/2025, 5:41:29 AM",5947,140,"💔 A Podcast For Those Who Are Looking To Heal

Comment ANGELS to be DM’d the link to this powerful podcast episode.

In this episode…

Discover how when a person is chronically ill, they aren’t alone and that there is an audience around them from above seeing their struggles and journey.

Learn how your body is fighting for you every day to heal.

Find out how you deserve to heal, and becoming sick with symptoms and conditions isn’t your fault.

Learn how your body loves you unconditionally.

Hear about how every powerful little tool you use for your healing can move you forward.

Learn how it’s easy to be conditioned into believing you’re a bad person and you’re the cause of your sickness, but it’s not truth.

Find out how easy it is to lose confidence when you’re not feeling well and how it should be the opposite because you can heal.

Learn about what happens after you heal and how people will see your wisdom.

Know how different life will be when looking back at the past when you were sick from the vantage of being healed.

Comment ANGELS to be DM’d the link to this powerful podcast episode."
medicalmedium,https://www.instagram.com/medicalmedium/reel/DK5Az_iuk6q/,"6/14/2025, 11:13:38 AM",7316,104,"Your Healing Is Holy: You’re Seen From Above

Comment HEAL to be DM’d a link to this latest, eye-opening podcast episode.

If you are struggling with chronic illness, always remember that your body is working hard for you every day, fighting for you to heal, and that your body has your back and loves you unconditionally. Always know that you are a good person. Pat yourself on the back and always have compassion for yourself. Do not judge yourself because you became ill. You did not create your illness and you do not deserve to be chronically ill. 

It’s hard to have clarity when a person can’t find the answers they need to complete deep healing. It’s hard to keep clarity when others do not know their suffering and struggles and it’s sometimes hard to see straight when someone is in pain, fighting for their lives on an hourly basis, but always remember: you can heal and healing is what your body understands. Every little powerful tool you apply to your health rings through your body and sounds off your healing powers. Your body holds these healing powers and they are always there, ready to be ignited. 

As you go to bed at night, remember there is an audience and you are not truly alone. Call upon the angels and ask them to be by your bedside—they are watching you and when you wake up in the morning, know that God is there watching over you and knows about your struggles. He sees you throughout the night and knows you are working hard every day on your healing. God knows what a good soul you are and what kind of soul you are. Chronic illness does not govern over every aspect of who you are but instead becomes a profound spiritual growth experience that can only come from the struggles of once being sick. Just around the corner comes the day you will look back at it all while being healthy again—you will see it from a distance and have a knowing wisdom to carry throughout this lifetime.

Comment HEAL to be DM’d a link to this latest, eye-opening podcast episode."
medicalmedium,https://www.instagram.com/medicalmedium/reel/DK4vmskuEGZ/,"6/14/2025, 8:43:17 AM",4545,102,"For People That Are Broken, Lost & Hopeless

Thank you Esmeralda for being there and for sharing your story🙏🏻♥️🕊️
 
Comment HOPE for a link to more info on how to heal"
medicalmedium,https://www.instagram.com/medicalmedium/p/DKy2uXVO4_W/,"6/12/2025, 1:48:51 AM",3352,63,"Aloe Vera reduces acidity in the body🌟

Learn how to cleanse and heal in my book Cleanse To Heal available on Amazon, Barnes & Noble, Walmart, Target, and anywhere books are sold💗

Has Aloe Vera ever helped you?"
medicalmedium,https://www.instagram.com/medicalmedium/p/DK6-gAmOtxG/,"6/15/2025, 5:30:43 AM",4588,40,"Wild blueberries improve and strengthen eyesight🌟

Learn all about our most complex organ—the brain—and dive deep into why people all over the world are suffering with mental health and brain-related symptoms and conditions, along with comprehensive guidance on how to heal in Medical Medium Brain Saver and Brain Saver Protocols, Cleanses & Recipes available on Amazon, Barnes & Noble, Walmart, Target, and anywhere books are sold💗

Have your eyes improved since eating wild blueberries?"
medicalmedium,https://www.instagram.com/medicalmedium/reel/DLAUJOaOqEU/,"6/17/2025, 7:17:22 AM",2219,36,"Carrot, Zucchini, & Potato Patties {Gluten-Free, Dairy-Free, & Fat-Free} A Cleanse To Heal Recipe

These veggie patties are so incredibly versatile that you can make them a regular lunch or dinner choice without getting bored. Try them over a salad, with steamed vegetables, topped with salsa, in a lettuce or cabbage leaf, dipped into the natural ketchup recipe in Cleanse to Heal, or any other way you can dream up.

Zucchini: Soothing to the intestinal tract walls, pushing out pathogens such as bacteria and fungus, allowing for better absorption of nutrients that can be sent up to the liver. Zucchini is a beneficial gallbladder food, containing phytochemicals that actually reduce gallbladder inflammation.

Potatoes: Abundant in amino acids that specifically inhibit viral growth. Potatoes are high in glucose that provides substance to the liver, as it’s precisely what the liver relies on to keep strong. Potatoes keep the liver grounded and stable, giving us a good constitution.

Carrot, Zucchini and Potato Patties

Ingredients:

2 potatoes
2 carrots
1 zucchini
1 teaspoon garlic powder
1 teaspoon onion powder
1 teaspoon dried oregano
1 teaspoon paprika

Directions:

Add 3 inches of water to a medium-sized pot, bring it to a boil, and add a steaming basket. Place the potatoes and carrots in the basket, cover, and steam for 15 to 20 minutes, until tender. Remove from heat and cool completely.

Preheat oven to 350°F. Line a baking sheet with parchment paper.

Grate the zucchini and place it in a muslin cloth or nut milk bag to squeeze out all the water. Make sure that the zucchini is very dry; otherwise it will take the patties longer to crisp up in the oven. Add it to a mixing bowl. Grate the potatoes and carrots and place them in the bowl with the grated zucchini. Add the garlic powder, onion powder, dried oregano, and paprika and mix until combined.

Form the mixture into about 8 patties and place them on the baking sheet. Place in the oven and cook for 45 to 60 minutes, until browned and crispy, flipping them halfway through. Allow the patties to cool for 10 to 15 minutes before eating so they firm up.

Comment RECIPE for a link to be sent to you now"
medicalmedium,https://www.instagram.com/medicalmedium/p/DK4bRQDObr6/,"6/14/2025, 5:44:23 AM",4897,33,"Apples help the body recover from stress🌟

Learn all about our most complex organ—the brain—and dive deep into why people all over the world are suffering with mental health and brain-related symptoms and conditions, along with comprehensive guidance on how to heal in Medical Medium Brain Saver and Brain Saver Protocols, Cleanses & Recipes available on Amazon, Barnes & Noble, Walmart, Target, and anywhere books are sold💗

Have you been stressed out lately?"
medicalmedium,https://www.instagram.com/medicalmedium/p/DK10Cg4OR9P/,"6/13/2025, 5:23:07 AM",5429,33,"Cherries cleanse the urinary tract and bladder🌟

Learn how to cleanse and heal in my book Cleanse To Heal available on Amazon, Barnes & Noble, Walmart, Target, and anywhere books are sold💗

Do like fresh cherries?"
medicalmedium,https://www.instagram.com/medicalmedium/p/DK9S-OYOBfz/,"6/16/2025, 3:08:05 AM",5153,23,"Cherries help repair stress damage🌟

Learn all about our most complex organ—the brain—and dive deep into why people all over the world are suffering with mental health and brain-related symptoms and conditions, along with comprehensive guidance on how to heal in Medical Medium Brain Saver and Brain Saver Protocols, Cleanses & Recipes available on Amazon, Barnes & Noble, Walmart, Target, and anywhere books are sold💗

Do you feel better when you eat cherries?🍒"
medicalmedium,https://www.instagram.com/medicalmedium/p/DLAEVi6u6nk/,"6/17/2025, 4:57:55 AM",2359,22,"Nettle leaf helps heal adrenal fatigue🌟

Learn how to cleanse and heal in my book Cleanse To Heal available on Amazon, Barnes & Noble, Walmart, Target, and anywhere books are sold💗

Have you tried nettle leaf either fresh, dried, tincture, capsule or tea?"
